trait,Ridge_delta,LASSO_delta,ENet_delta,RF_delta,SVRlin_delta,XGB_delta
Cobalt_Chloride,0.3732987557061028,0.450620148954126,0.4164676115103159,-0.22608668431545348,0.297786923965983,-0.18710337829402063
Tunicamycin,0.22406170000003106,0.22795305895501483,0.21026823309423354,-0.2020478284265173,0.1778192903365297,-0.18120633740846548
YNB,0.21358044895425798,0.16187886526729162,0.1844808064344713,-0.2550303065747094,0.13368859120703047,-0.24189016026075552
Magnesium_Sulfate,0.4894436519859472,0.5518543952460355,0.518063864406003,-0.2784900697731938,0.4604789984283114,-0.23195867897049693
YPD,0.2820670833883562,0.26955825626055785,0.2705796211323625,-0.3064699993427394,0.23117338307639798,-0.26930422973824697
Maltose,0.20262424204212992,0.2534168332172214,0.22762284509670302,-0.6568143474488868,0.1348479426760581,-0.5758355019649986
Neomycin,0.16859863643631895,0.21634622534770775,0.18604818862665196,-0.2822453579908073,0.13247438202687473,-0.24069732854907855
Menadione,0.4976059827140687,0.44247879909016147,0.4823780807620446,-0.2549729337064025,0.3536401842339867,-0.20421043312666268
YPD:15C,0.493982196253252,0.5047912405237034,0.4754184343784461,-0.3154325294653914,0.4123456344179792,-0.2761431562887673
x4NQO,0.20586005001344698,0.20361023051432203,0.18501385769297352,-0.4118392662892248,0.1912533186454924,-0.3713023282291521
E6_Berbamine,0.4284256352192606,0.49665141065350404,0.4324035055393346,-0.15769509042242058,0.36692548047516277,-0.15534549465025743
Lactose,0.23430935161134936,0.20750665506902916,0.21232838973111523,-0.32134240165346883,0.19041769540610554,-0.2535163012276179
