,missing_rate,n_samples,n_non_na
Cobalt_Chloride,0.000992063492063492,1008,1007.0
Tunicamycin,0.001984126984126984,1008,1006.0
YNB,0.001984126984126984,1008,1006.0
Magnesium_Sulfate,0.001984126984126984,1008,1006.0
YPD,0.001984126984126984,1008,1006.0
Maltose,0.002976190476190476,1008,1005.0
Neomycin,0.002976190476190476,1008,1005.0
Menadione,0.002976190476190476,1008,1005.0
YPD:15C,0.002976190476190476,1008,1005.0
x4NQO,0.002976190476190476,1008,1005.0
E6_Berbamine,0.002976190476190476,1008,1005.0
Lactose,0.003968253968253968,1008,1004.0
Caffeine,0.003968253968253968,1008,1004.0
Paraquat,0.003968253968253968,1008,1004.0
Cycloheximide,0.003968253968253968,1008,1004.0
YPD:37C,0.00496031746031746,1008,1003.0
Xylose,0.00496031746031746,1008,1003.0
Trehalose,0.00496031746031746,1008,1003.0
Diamide,0.00496031746031746,1008,1003.0
Lithium_Chloride,0.005952380952380952,1008,1002.0
x6-Azauracil,0.006944444444444444,1008,1001.0
Formamide,0.008928571428571428,1008,999.0
Indoleacetic_Acid,0.013888888888888888,1008,994.0
x5-Fluorouracil,0.015873015873015872,1008,992.0
Cisplatin,0.017857142857142856,1008,990.0
YNB:ph3,0.028769841269841268,1008,979.0
Congo_red,0.028769841269841268,1008,979.0
Lactate,0.034722222222222224,1008,973.0
Copper,0.03571428571428571,1008,972.0
Ethanol,0.040674603174603176,1008,967.0
x4-Hydroxybenzaldehyde,0.04365079365079365,1008,964.0
Magnesium_Chloride,0.04365079365079365,1008,964.0
Galactose,0.04563492063492063,1008,962.0
Hydroquinone,0.047619047619047616,1008,960.0
Zeocin,0.050595238095238096,1008,957.0
Mannose,0.050595238095238096,1008,957.0
x5-Fluorocytosine,0.050595238095238096,1008,957.0
Calcium_Chloride,0.05853174603174603,1008,949.0
Hydroxyurea,0.06349206349206349,1008,944.0
YNB:ph8,0.12003968253968254,1008,887.0
SDS,0.13392857142857142,1008,873.0
YPD:4C,0.2003968253968254,1008,806.0
Cadmium_Chloride,0.20734126984126985,1008,799.0
Hydrogen_Peroxide,0.2371031746031746,1008,769.0
Raffinose,0.34325396825396826,1008,662.0
Sorbitol,0.40575396825396826,1008,599.0
